id_A,segment_id_A,source_file_A,id_B,segment_id_B,source_file_B,prediction
13336473_SWIOJTSM_RVFWPMSK_0_0,13336473_SWIOJTSM_RVFWPMSK_0,JWRARGWSGJZN,13336473_SWIOJTSM_RVFWPMSK_0_0,13336473_SWIOJTSM_RVFWPMSK_0,ULWGIXVZAPFO,0
13336473_SWIOJTSM_RVFWPMSK_0_1,13336473_SWIOJTSM_RVFWPMSK_0,JWRARGWSGJZN,13336473_SWIOJTSM_RVFWPMSK_0_1,13336473_SWIOJTSM_RVFWPMSK_0,ULWGIXVZAPFO,0
13336473_SWIOJTSM_RVFWPMSK_0_2,13336473_SWIOJTSM_RVFWPMSK_0,JWRARGWSGJZN,13336473_SWIOJTSM_RVFWPMSK_0_2,13336473_SWIOJTSM_RVFWPMSK_0,ULWGIXVZAPFO,0
13336473_SWIOJTSM_RVFWPMSK_0_3,13336473_SWIOJTSM_RVFWPMSK_0,JWRARGWSGJZN,13336473_SWIOJTSM_RVFWPMSK_0_3,13336473_SWIOJTSM_RVFWPMSK_0,ULWGIXVZAPFO,0
13336473_SWIOJTSM_RVFWPMSK_0_4,13336473_SWIOJTSM_RVFWPMSK_0,JWRARGWSGJZN,13336473_SWIOJTSM_RVFWPMSK_0_4,13336473_SWIOJTSM_RVFWPMSK_0,ULWGIXVZAPFO,0
13336473_SWIOJTSM_RVFWPMSK_0_5,13336473_SWIOJTSM_RVFWPMSK_0,JWRARGWSGJZN,13336473_SWIOJTSM_RVFWPMSK_0_5,13336473_SWIOJTSM_RVFWPMSK_0,ULWGIXVZAPFO,0
13336473_SWIOJTSM_RVFWPMSK_0_6,13336473_SWIOJTSM_RVFWPMSK_0,JWRARGWSGJZN,13336473_SWIOJTSM_RVFWPMSK_0_6,13336473_SWIOJTSM_RVFWPMSK_0,ULWGIXVZAPFO,0
13336473_SWIOJTSM_RVFWPMSK_0_7,13336473_SWIOJTSM_RVFWPMSK_0,JWRARGWSGJZN,13336473_SWIOJTSM_RVFWPMSK_0_7,13336473_SWIOJTSM_RVFWPMSK_0,ULWGIXVZAPFO,0
13336473_SWIOJTSM_RVFWPMSK_0_8,13336473_SWIOJTSM_RVFWPMSK_0,JWRARGWSGJZN,13336473_SWIOJTSM_RVFWPMSK_0_8,13336473_SWIOJTSM_RVFWPMSK_0,ULWGIXVZAPFO,0
13336473_SWIOJTSM_RVFWPMSK_0_9,13336473_SWIOJTSM_RVFWPMSK_0,JWRARGWSGJZN,13336473_SWIOJTSM_RVFWPMSK_0_9,13336473_SWIOJTSM_RVFWPMSK_0,ULWGIXVZAPFO,0
13336473_SWIOJTSM_RVFWPMSK_0_10,13336473_SWIOJTSM_RVFWPMSK_0,JWRARGWSGJZN,13336473_SWIOJTSM_RVFWPMSK_0_10,13336473_SWIOJTSM_RVFWPMSK_0,ULWGIXVZAPFO,0
13336473_SWIOJTSM_RVFWPMSK_0_11,13336473_SWIOJTSM_RVFWPMSK_0,JWRARGWSGJZN,13336473_SWIOJTSM_RVFWPMSK_0_11,13336473_SWIOJTSM_RVFWPMSK_0,ULWGIXVZAPFO,0
13336473_SWIOJTSM_RVFWPMSK_0_12,13336473_SWIOJTSM_RVFWPMSK_0,JWRARGWSGJZN,13336473_SWIOJTSM_RVFWPMSK_0_12,13336473_SWIOJTSM_RVFWPMSK_0,ULWGIXVZAPFO,0
13336473_SWIOJTSM_RVFWPMSK_0_13,13336473_SWIOJTSM_RVFWPMSK_0,JWRARGWSGJZN,13336473_SWIOJTSM_RVFWPMSK_0_13,13336473_SWIOJTSM_RVFWPMSK_0,ULWGIXVZAPFO,0
13336473_SWIOJTSM_RVFWPMSK_0_14,13336473_SWIOJTSM_RVFWPMSK_0,JWRARGWSGJZN,13336473_SWIOJTSM_RVFWPMSK_0_14,13336473_SWIOJTSM_RVFWPMSK_0,ULWGIXVZAPFO,0
13336473_SWIOJTSM_RVFWPMSK_0_15,13336473_SWIOJTSM_RVFWPMSK_0,JWRARGWSGJZN,13336473_SWIOJTSM_RVFWPMSK_0_15,13336473_SWIOJTSM_RVFWPMSK_0,ULWGIXVZAPFO,0
13336473_SWIOJTSM_RVFWPMSK_0_16,13336473_SWIOJTSM_RVFWPMSK_0,JWRARGWSGJZN,13336473_SWIOJTSM_RVFWPMSK_0_16,13336473_SWIOJTSM_RVFWPMSK_0,ULWGIXVZAPFO,0
13336473_SWIOJTSM_RVFWPMSK_0_17,13336473_SWIOJTSM_RVFWPMSK_0,JWRARGWSGJZN,13336473_SWIOJTSM_RVFWPMSK_0_17,13336473_SWIOJTSM_RVFWPMSK_0,ULWGIXVZAPFO,0
13336473_SWIOJTSM_RVFWPMSK_0_18,13336473_SWIOJTSM_RVFWPMSK_0,JWRARGWSGJZN,13336473_SWIOJTSM_RVFWPMSK_0_18,13336473_SWIOJTSM_RVFWPMSK_0,ULWGIXVZAPFO,1
13336473_SWIOJTSM_RVFWPMSK_0_19,13336473_SWIOJTSM_RVFWPMSK_0,JWRARGWSGJZN,13336473_SWIOJTSM_RVFWPMSK_0_19,13336473_SWIOJTSM_RVFWPMSK_0,ULWGIXVZAPFO,0
13336473_SWIOJTSM_RVFWPMSK_0_20,13336473_SWIOJTSM_RVFWPMSK_0,JWRARGWSGJZN,13336473_SWIOJTSM_RVFWPMSK_0_20,13336473_SWIOJTSM_RVFWPMSK_0,ULWGIXVZAPFO,0
13336473_SWIOJTSM_RVFWPMSK_0_21,13336473_SWIOJTSM_RVFWPMSK_0,JWRARGWSGJZN,13336473_SWIOJTSM_RVFWPMSK_0_21,13336473_SWIOJTSM_RVFWPMSK_0,ULWGIXVZAPFO,0
13336473_SWIOJTSM_RVFWPMSK_0_22,13336473_SWIOJTSM_RVFWPMSK_0,JWRARGWSGJZN,13336473_SWIOJTSM_RVFWPMSK_0_22,13336473_SWIOJTSM_RVFWPMSK_0,ULWGIXVZAPFO,1
13336473_SWIOJTSM_RVFWPMSK_0_23,13336473_SWIOJTSM_RVFWPMSK_0,JWRARGWSGJZN,13336473_SWIOJTSM_RVFWPMSK_0_23,13336473_SWIOJTSM_RVFWPMSK_0,ULWGIXVZAPFO,0
13336473_SWIOJTSM_RVFWPMSK_0_24,13336473_SWIOJTSM_RVFWPMSK_0,JWRARGWSGJZN,13336473_SWIOJTSM_RVFWPMSK_0_24,13336473_SWIOJTSM_RVFWPMSK_0,ULWGIXVZAPFO,1
13336473_SWIOJTSM_RVFWPMSK_0_25,13336473_SWIOJTSM_RVFWPMSK_0,JWRARGWSGJZN,13336473_SWIOJTSM_RVFWPMSK_0_25,13336473_SWIOJTSM_RVFWPMSK_0,ULWGIXVZAPFO,0
13336473_SWIOJTSM_RVFWPMSK_0_26,13336473_SWIOJTSM_RVFWPMSK_0,JWRARGWSGJZN,13336473_SWIOJTSM_RVFWPMSK_0_26,13336473_SWIOJTSM_RVFWPMSK_0,ULWGIXVZAPFO,0
13336473_SWIOJTSM_RVFWPMSK_0_27,13336473_SWIOJTSM_RVFWPMSK_0,JWRARGWSGJZN,13336473_SWIOJTSM_RVFWPMSK_0_27,13336473_SWIOJTSM_RVFWPMSK_0,ULWGIXVZAPFO,0
13336473_SWIOJTSM_RVFWPMSK_0_28,13336473_SWIOJTSM_RVFWPMSK_0,JWRARGWSGJZN,13336473_SWIOJTSM_RVFWPMSK_0_28,13336473_SWIOJTSM_RVFWPMSK_0,ULWGIXVZAPFO,0
13336473_SWIOJTSM_RVFWPMSK_0_29,13336473_SWIOJTSM_RVFWPMSK_0,JWRARGWSGJZN,13336473_SWIOJTSM_RVFWPMSK_0_29,13336473_SWIOJTSM_RVFWPMSK_0,ULWGIXVZAPFO,0
13336473_SWIOJTSM_RVFWPMSK_0_30,13336473_SWIOJTSM_RVFWPMSK_0,JWRARGWSGJZN,13336473_SWIOJTSM_RVFWPMSK_0_30,13336473_SWIOJTSM_RVFWPMSK_0,ULWGIXVZAPFO,0
13336473_SWIOJTSM_RVFWPMSK_0_31,13336473_SWIOJTSM_RVFWPMSK_0,JWRARGWSGJZN,13336473_SWIOJTSM_RVFWPMSK_0_31,13336473_SWIOJTSM_RVFWPMSK_0,ULWGIXVZAPFO,0
13336473_SWIOJTSM_RVFWPMSK_0_32,13336473_SWIOJTSM_RVFWPMSK_0,JWRARGWSGJZN,13336473_SWIOJTSM_RVFWPMSK_0_32,13336473_SWIOJTSM_RVFWPMSK_0,ULWGIXVZAPFO,0
13336473_SWIOJTSM_RVFWPMSK_0_33,13336473_SWIOJTSM_RVFWPMSK_0,JWRARGWSGJZN,13336473_SWIOJTSM_RVFWPMSK_0_33,13336473_SWIOJTSM_RVFWPMSK_0,ULWGIXVZAPFO,0
13336473_SWIOJTSM_RVFWPMSK_0_34,13336473_SWIOJTSM_RVFWPMSK_0,JWRARGWSGJZN,13336473_SWIOJTSM_RVFWPMSK_0_34,13336473_SWIOJTSM_RVFWPMSK_0,ULWGIXVZAPFO,0
13336473_SWIOJTSM_RVFWPMSK_0_35,13336473_SWIOJTSM_RVFWPMSK_0,JWRARGWSGJZN,13336473_SWIOJTSM_RVFWPMSK_0_35,13336473_SWIOJTSM_RVFWPMSK_0,ULWGIXVZAPFO,0
13336473_SWIOJTSM_RVFWPMSK_0_36,13336473_SWIOJTSM_RVFWPMSK_0,JWRARGWSGJZN,13336473_SWIOJTSM_RVFWPMSK_0_36,13336473_SWIOJTSM_RVFWPMSK_0,ULWGIXVZAPFO,0
13336473_SWIOJTSM_RVFWPMSK_0_37,13336473_SWIOJTSM_RVFWPMSK_0,JWRARGWSGJZN,13336473_SWIOJTSM_RVFWPMSK_0_37,13336473_SWIOJTSM_RVFWPMSK_0,ULWGIXVZAPFO,0
44731344_SXKPVCFE_XLOLCGQM_0_0,44731344_SXKPVCFE_XLOLCGQM_0,FOPZUCAJROVY,44731344_SXKPVCFE_XLOLCGQM_0_0,44731344_SXKPVCFE_XLOLCGQM_0,LQQLRKCFNPPJ,0
44731344_SXKPVCFE_XLOLCGQM_0_0,44731344_SXKPVCFE_XLOLCGQM_0,FOPZUCAJROVY,44731344_SXKPVCFE_XLOLCGQM_0_0,44731344_SXKPVCFE_XLOLCGQM_0,CKMVQHUTCSSS,0
